date;volume;diffWithPrevious;previousEvolutionPercent;totalEvolutionPercent
2015-12-02Z;1.7113577439272432;0.05030387653129953;3.0284313783370305;-0.7072458475560666
2015-05-12Z;1.6610538673959436;-0.17159540061348721;-9.36324279876362;-3.735677225893097
2014-12-11Z;1.8326492680094308;0.33855273467663416;22.659361501993697;5.627565572870523
2014-07-02Z;1.4940965333327967;-0.13737932306749356;-8.42055507769567;-17.031795929123174
2014-05-27Z;1.6314758564002902;0.256960032550293;18.694585256250594;-8.611240851427503
2014-01-17Z;1.3745158238499973;-0.7335169828815649;-34.79627928650976;-27.305826107678097
2013-12-14Z;2.108032806731562;0.15098742966825585;7.7150704545657405;7.490453178831662
2013-08-28Z;1.9570453770633063;0.041871656385846334;2.18631113897255;-0.22461727573407853
2013-05-24Z;1.91517372067746;0.16018657728611174;9.127507166608991;-2.4109284147066283
2013-02-05Z;1.7549871433913482;-0.2804838997340673;-13.779802993580848;-11.53843558131562
2013-01-09Z;2.0354710431254155;0.044622236381822056;2.241367412265228;2.241367412265228
2012-12-03Z;1.9908488067435934;0.0;0.0;0.0
